no,media_type,title,place_name,place_type,description,opening_hours,break_time,closed_days,address,latitude,longitude,phone,last_updated,michelin_tier,food_category,representative_menu
1,show,천하제빵,수밀 블랑제리,bakery,1화 심사위원 만장일치 합격 빵집으로 기본 재료로 승부하는 치아바타 맛집,화-토 10:00 - 17:00,정보없음,매주 일요일/월요일,서울 구로구 중앙로 100 1층 103호,37.50639,126.8605267,정보없음,2025-02-15,,베이커리,"그린 치아바타, 소금 치아바타"
2,show,천하제빵,레브두,bakery,결이 살아있는 입체적인 '만겹 크루아상'과 쁘띠 갸또가 유명한 곳,매일 12:00 - 21:00,정보없음,연중무휴,서울 송파구 백제고분로45길 19 2층,37.5097782,127.109336,정보없음,2025-02-15,,베이커리,"만겹 크루아상, 쁘띠 갸또"
3,show,천하제빵,정남미명과 강릉본점,bakery,35년 방앗간 경력을 살려 강릉 농산물로 재료 본연의 모양을 살린 구황작물빵 맛집,매일 11:30 - 19:00,정보없음,연중무휴,강원 강릉시 경강로 2668 1층,37.7705515,128.9502005,정보없음,2025-02-15,,베이커리,구황작물빵 세트
4,show,천하제빵,푸하하크림빵,bakery,동물성 우유 생크림을 가득 채운 소금크림빵이 유명한 연남동 빵집,매일 09:30 - 22:00,정보없음,연중무휴,서울 마포구 양화로 19길 22-25 1층,37.5589475,126.9244461,정보없음,2025-02-15,,베이커리,"소금크림빵, 제주말차크림빵"
5,show,천하제빵,어글리베이커리,bakery,빵 반죽보다 속 재료가 더 많은 것으로 유명한 망원동 빵지순례 성지,수-일 12:00 - 20:00,정보없음,매주 월요일/화요일,서울 마포구 월드컵로 13길 73 1층,37.5550335,126.9060383,정보없음,2025-02-15,,베이커리,"감동의 대파빵, 말차 맘모스"
6,show,천하제빵,갈릭보이 광장시장,bakery,광장시장에 위치하며 마늘 스프레드와 트러플 오일을 더한 마늘빵이 주력,매일 10:00 - 19:30,정보없음,연중무휴,서울 종로구 창경궁로 88 1층 46호,37.5703506,127.0001135,정보없음,2025-02-15,,베이커리,"갈릭 브레드, 갈릭 크럼블"
7,show,천하제빵,1983 브레드,bakery,연탄 모양 식빵의 원조집으로 100% 우리 밀을 사용하는 곳,이전 준비 중,정보없음,정보없음,경기 고양시 일산동구 장항한강1로 21 상가동 3호,37.6936805,127.3890478,정보없음,2025-02-15,,베이커리,"1983 원조 연탄식빵, 연탄재식빵"
8,show,천하제빵,봉주르마담,bakery,블루리본 서베이에 9년 연속 선정된 제주도 빵지순례 필수 코스,매일 09:00 - 20:00,정보없음,연중무휴,제주 서귀포시 대청로 33 오름빌딩 1차 103호,33.2526933,126.503368,정보없음,2025-02-15,,베이커리,"뺑스위스, 밀푀유 앙버터"
9,show,천하제빵,솔트24,bakery,제과제빵 명인이 운영하는 크루아상 전문점으로 다양한 토핑 메뉴가 특징,매일 11:00 - 21:00,정보없음,연중무휴,서울 종로구 동숭길 36 1층,37.5798192,127.0043428,정보없음,2025-02-15,,베이커리,"플레인 크루아상, 솔트 크루아상"
10,show,천하제빵,꼼아파리,bakery,천연 발효종을 사용하며 강원도 감자를 활용한 크루아상이 시그니처인 춘천 빵집,목-일 06:00 - 10:00,정보없음,매주 월/화/수요일,강원 춘천시 동내면 거두택지길 61-3 1층,37.8550441,127.7576696,정보없음,2025-02-15,,베이커리,"감자 크루아상, 잠봉뵈르 치아바타"
11,show,천하제빵,버터베이커리,bakery,홍대/망원 지역 참가자 빵집,정보없음,정보없음,정보없음,서울 마포구,37.5600148,126.9239956,정보없음,2025-02-15,,베이커리,바게트
12,show,천하제빵,세빠띠,bakery,마포 지역 참가자 빵집,정보없음,정보없음,정보없음,서울 마포구,37.5590911,126.9201552,정보없음,2025-02-15,,베이커리,무스케이크
13,show,천하제빵,아오이토리,bakery,홍대 야키소바빵이 유명한 참가자 빵집,정보없음,정보없음,정보없음,서울 마포구,37.554751,126.9294621,정보없음,2025-02-15,,베이커리,야키소바빵
14,show,천하제빵,노틀던,bakery,성수/뚝섬 지역 참가자 빵집,정보없음,정보없음,정보없음,서울 성동구,37.5473614,127.0400154,정보없음,2025-02-15,,베이커리,누아&블랑
15,show,천하제빵,본노엘,bakery,성동구 지역 참가자 빵집,정보없음,정보없음,정보없음,서울 성동구,37.5497074,127.0480229,정보없음,2025-02-15,,베이커리,"소금빵, 앙버터"
16,show,천하제빵,방글,bakery,성동구 지역 참가자 빵집,정보없음,정보없음,정보없음,서울 성동구,37.5382014,127.0536641,정보없음,2025-02-15,,베이커리,케이크
17,show,천하제빵,로컬릿,bakery,성동구 지역 참가자 빵집,정보없음,정보없음,정보없음,서울 성동구,37.5409475,127.0147347,정보없음,2025-02-15,,베이커리,딸기타르트
18,show,천하제빵,라프라,bakery,서촌 에끌레어 맛집으로 알려진 참가자,정보없음,정보없음,정보없음,서울 종로구,37.5980424,126.9619541,정보없음,2025-02-15,,베이커리,에끌레어
19,show,천하제빵,베이커리 무이,bakery,용산 소금빵 맛집으로 알려진 참가자,정보없음,정보없음,정보없음,서울 용산구,37.53965,126.9669003,정보없음,2025-02-15,,베이커리,소금빵
20,show,천하제빵,밀갸또,bakery,교대 밀푀유 맛집으로 유명한 참가자,정보없음,정보없음,정보없음,서울 서초구,37.4931316,127.0181451,정보없음,2025-02-15,,베이커리,밀푀유
21,show,천하제빵,프레드므아,bakery,청담동 샌드위치 전문 참가자,정보없음,정보없음,정보없음,서울 강남구,37.5228714,127.0438158,정보없음,2025-02-15,,베이커리,샌드위치
22,show,천하제빵,아떼,bakery,삼성동 압생트 관련 메뉴 참가자,정보없음,정보없음,정보없음,서울 강남구,37.5099957,127.0530304,정보없음,2025-02-15,,베이커리,압생트
23,show,천하제빵,브레드피트,bakery,여의도 우유크림빵으로 유명한 참가자,정보없음,정보없음,정보없음,서울 영등포구,37.5197969,126.9321087,정보없음,2025-02-15,,베이커리,우유크림빵
24,show,천하제빵,빈스링,bakery,노원구 크림도넛 맛집 참가자,정보없음,정보없음,정보없음,서울 노원구,37.6583604,127.0615897,정보없음,2025-02-15,,베이커리,크림도넛
25,show,천하제빵,파비올라스,bakery,일산 소금빵 맛집 참가자,정보없음,정보없음,정보없음,경기 고양시,37.6789876,126.8127209,정보없음,2025-02-15,,베이커리,소금빵
26,show,천하제빵,킴블랑제리,bakery,일산 크루아상 맛집 참가자,정보없음,정보없음,정보없음,경기 고양시,37.6413986,126.7913029,정보없음,2025-02-15,,베이커리,크루아상
27,show,천하제빵,윤쉐프 정직한제빵소,bakery,경기 양주 지역 참가자,정보없음,정보없음,정보없음,경기 양주시,37.8213958,127.0946079,정보없음,2025-02-15,,베이커리,정보없음
28,show,천하제빵,나예다락,bakery,평택 에그타르트 맛집 참가자,정보없음,정보없음,정보없음,경기 평택시,36.9801294,126.9289941,정보없음,2025-02-15,,베이커리,에그타르트
29,show,천하제빵,드롭 베이커리,bakery,여주 치아바타 전문 참가자,정보없음,정보없음,정보없음,경기 여주시,37.2934463,127.6369416,정보없음,2025-02-15,,베이커리,치아바타
30,show,천하제빵,하레하레,bakery,대전 지역 유명 빵집으로 참가,정보없음,정보없음,정보없음,대전광역시,36.351457,127.3949666,정보없음,2025-02-15,,베이커리,쌀하레치즈
31,show,천하제빵,흥흥제과,bakery,청주 타르트 맛집 참가자,정보없음,정보없음,정보없음,충북 청주시,36.6375161,127.4886281,정보없음,2025-02-15,,베이커리,타르트
32,show,천하제빵,NNN베이커리,bakery,서산 크루아상 맛집 참가자,정보없음,정보없음,정보없음,충남 서산시,36.77693,126.4526488,정보없음,2025-02-15,,베이커리,크루아상
33,show,천하제빵,하루베이커리,bakery,아산 호두찰식빵 맛집 참가자,정보없음,정보없음,정보없음,충남 아산시,36.7748106,127.0093268,정보없음,2025-02-15,,베이커리,호두찰식빵
34,show,천하제빵,카페살포시,bakery,세종 소금빵 맛집 참가자,정보없음,정보없음,정보없음,세종특별자치시,36.6789799,127.2053764,정보없음,2025-02-15,,베이커리,소금빵
35,show,천하제빵,슬지제빵소,bakery,부안 찐빵 맛집으로 유명한 참가자,정보없음,정보없음,정보없음,전북 부안군,35.5947258,126.6182664,정보없음,2025-02-15,,베이커리,소금찐빵
36,show,천하제빵,갓버터도나스,bakery,여수 도넛 맛집 참가자,정보없음,정보없음,정보없음,전남 여수시,34.7409676,127.7358893,정보없음,2025-02-15,,베이커리,도넛
37,show,천하제빵,맘스브레드,bakery,전주 오징어먹물빵으로 유명한 참가자,정보없음,정보없음,정보없음,전북 전주시,35.8086269,127.1034588,정보없음,2025-02-15,,베이커리,오징어먹물빵
38,show,천하제빵,브레드플러스,bakery,나주 보키빵 맛집 참가자,정보없음,정보없음,정보없음,전남 나주시,35.0201741,126.7797065,정보없음,2025-02-15,,베이커리,보키빵
39,show,천하제빵,아침을 기다리는 빵,bakery,대구 미니케이크 맛집 참가자,정보없음,정보없음,정보없음,대구광역시,35.9418172,128.5624212,정보없음,2025-02-15,,베이커리,미니케이크
40,show,천하제빵,엘본더브레드,bakery,대구 할라피뇨 치아바타 맛집 참가자,정보없음,정보없음,정보없음,대구광역시,35.8478079,128.5279777,정보없음,2025-02-15,,베이커리,할라피뇨 치아바타
41,show,천하제빵,밀밭베이커리,bakery,대구 메론빵 맛집 참가자,정보없음,정보없음,정보없음,대구광역시,35.8704343,128.5965662,정보없음,2025-02-15,,베이커리,메론빵
42,show,천하제빵,순쌀빵,bakery,부산 치즈쉬폰 맛집 참가자,정보없음,정보없음,정보없음,부산광역시,35.1709483,129.0381336,정보없음,2025-02-15,,베이커리,치즈쉬폰
43,show,천하제빵,탐나제과,bakery,제주 케이크 맛집 참가자,정보없음,정보없음,정보없음,제주특별자치도,33.4179868,126.2679056,정보없음,2025-02-15,,베이커리,케이크
44,show,천하제빵,르 비스킷 알랭 뒤카스,bakery,프랑스 파리에서 참가한 비스킷 전문점,정보없음,정보없음,정보없음,해외 파리,,,정보없음,2025-02-15,,베이커리,비스킷
